event,startYear,startEra,endYear,endEra,notes,period,reference
"Piora Oscillation, cold, perhaps not global. Wetter in Europe, drier elsewhere, linked to the domestication of the horse in Central Asia.",3200,BCE,2900,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"4.2 kiloyear event dry, lasted most of the 22nd century BC, linked to the end of the Old Kingdom in Egypt, and the Akkadian Empire in Mesopotamia, various archaeological cultures in Persia and China",2201,BCE,2200,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Middle Bronze Age Cold Epoch, a period of unusually cold climate in the North Atlantic region",1800,BCE,1500,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Iron Age Cold Epoch cold in North Atlantic. Perhaps associated with the Homeric Minimum,900,BCE,300,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Roman Warm Period,250,BCE,400,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"sudden cooling and failure of harvests, perhaps caused by volcanic dust",535,CE,536,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Medieval warm period, wet in Europe, arid in North America, may have depopulated the Great Plains of North America, associated with the Medieval renaissances in Europe",900,CE,1300,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Great Famine of 1315–17 in Europe,1315,CE,1317,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Little ice age,1300,CE,1850,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Spörer Minimum cold,1460,CE,1550,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Maunder Minimum low sunspot activity,1656,CE,1715,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Dalton Minimum low sunspot activity, cold",1790,CE,1830,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Year Without a Summer, caused by volcanic dust",1816,CE,1817,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Retreat of glaciers since 1850, instrumental temperature record",1850,CE,2020,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Siberian high,6900,BCE,6000,BCE,,"Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",
Siberian high,4000,BCE,3000,BCE,,"Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",
Siberian high,1200,BCE,600,BCE,,"Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",
Siberian high,1300,BCE,1700,CE,,"Brooke, J. (2014). Climate Change and the Course of Global History: A Rough Journey (Studies in Environment and History). Cambridge: Cambridge University Press. doi:10.1017/CBO9781139050814",
